,Name,club,Appearances,Wins,Losses,Clean sheets,Goals conceded,Tackles,Tackle success (%),Last man tackles,Blocked shots,Interceptions,Clearances,Headed clearances,Clearances off the line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goals,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Free-kicks scored,Shots,Shots on target,Shot accuracy,Hit the woodwork,Big chances missed,Yellow cards,Red cards,Fouls commited,Offsides,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy (%),Through balls,Accurate long balls
164,Cédric Soares,"['Arsenal', 'Arsenal (Loan)', 'Arsenal (Loan)', 'Southampton', 'Southampton', 'Southampton']",21,11,7,3,20,53,60%,0,3,22,45,18,0,69,83,73,6,20,29,0,0,1,No value,0,0,1,No value,No value,No value,No value,No value,0,No value,1,0,16,0,1,593,28.24,0,72,21%,1,29
165,Trevoh Chalobah,['Chelsea'],0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
166,Calum Chambers,['Arsenal'],14,4,4,3,15,26,38%,0,4,16,41,25,0,69,77,69,11,37,31,0,0,1,No value,0,1,0,No value,No value,No value,No value,No value,0,No value,5,0,18,0,1,796,56.86,4,34,12%,0,35
167,James Chester,"['Aston Villa', 'Aston Villa', 'Aston Villa']",0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,0,0.00,0,0,0%,0,0
168,Chicharito,['West Ham United'],2,0,1,No value,No value,0,No value,No value,0,1,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,1,0.50,0,1,0,0,0,3,2,67%,0,1,0,0,0,2,0,20,10.00,0,0,No value,No value,No value
169,Ben Chilwell,['Leicester City'],27,13,8,9,26,43,60%,0,3,28,54,26,0,161,147,148,19,56,38,0,0,3,No value,0,1,2,No value,No value,No value,No value,No value,1,No value,3,0,29,1,3,"1,654",61.26,5,103,18%,3,54
170,Pedro Chirivella,['Liverpool'],0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
171,Tahith Chong,"['Manchester United', 'Manchester United']",3,2,1,No value,No value,0,No value,No value,0,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0.00,0,0,0,0,0,1,0,0%,0,0,0,0,2,0,0,14,4.67,0,0,No value,No value,No value
172,Hamza Choudhury,['Leicester City'],20,9,6,No value,No value,17,47%,No value,3,24,12,5,No value,51,39,54,3,12,10,No value,0,1,0.05,0,1,0,0,0,7,2,29%,0,0,2,1,12,0,1,496,24.80,0,4,0%,0,19
173,Andreas Christensen,['Chelsea'],21,10,7,3,33,38,55%,0,1,29,56,33,0,107,120,73,4,69,51,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,5,0,17,0,0,"1,307",62.24,2,0,0%,2,52
